設ける1	もうける	前もって用意・準備をする。「一席＿・ける」	〔用意する〕provide; prepare
設ける2	もうける	建物・機関などを、こしらえる。設置する。「窓口をー・ける」「規則をー・ける」	organize; set up; lay down (e.g. rules/laws); make (e.g. excuse)
申し訳	もうしわけ	null	null
捥ぎ取る	もぎとる	もいで取る。	pluck off (e.g. an apple); tear off (a dolls arm)
若し	もし	まだ現実になっていないことを仮に想定するさま。もしか。万一。「―彼が来たら、知らせてください」	if; provided; in case (of emergency)
申し上げる	もうしあげる		say (polite)
申し入れる	もうしいれる		to propose, to suggest
申し込み	もうしこみ		application, entry, request, subscription, offer, proposal, overture, challenge
申し込む	もうしこむ		apply for, propose, offer, challenge, request
申出	もうしで		proposal, request, claim, report, notice
申し出る	もうしでる		to report to, to tell, to suggest, to submit, to request, to make an offer, to come forward with information
申し分	もうしぶん		objection, shortcomings
申し訳ない	もうしわけない		inexcusable
申す	もうす		say (polite)
盲点	もうてん		blind spot
毛布	もうふ		blanket
猛烈	もうれつ		violent, vehement, rage
燃える	もえる		to burn
藻掻く	もがく		to struggle, to wriggle, to be impatient
木材	もくざい		lumber, timber, wood
目次	もくじ		table of contents
目的	もくてき		purpose, goal, aim, objective, intention
目標	もくひょう		mark, objective, target
木曜	もくよう		Thursday
木曜日	もくようび		Thursday
潜る2	もぐる		drive, pass through, evade, hide, dive (into or under water), go underground
目録	もくろく		catalogue, catalog, list
目論見	もくろみ		a plan, a scheme, a project, a program, intention, goal
模型	もけい		model, dummy, maquette
模索	もさく		groping (for)
文字	もじ		letter (of alphabet), character
若しかして	もしかして		perhaps, possibly
若しくは	もしくは		or, otherwise
若しも	もしも		if
持ち	もち		hold, charge, keep possession, in charge, wear, durability, life, draw, usage (suff)
餅	もち		sticky rice cake
持ち上げる	もちあげる		raise, lift up, flatter
用いる	もちいる		use, make use of
持ち切り	もちきり		hot topic, talk of the town
勿論	もちろん		of course, certainly, naturally
持つ	もつ		hold, carry, possess
以て	もって		with, by, by means of, because, in view of
最も	もっとも		most, extremely
専ら	もっぱら		wholly, solely, entirely
持て成す	もてなす		to entertain, to make welcome
持てる	もてる		to be well liked, to be popular
元	もと		origin, original, former
基2	もと		basis
基1	もとい		basis
戻す	もどす		restore, put back, return
基づく	もとづく		be grounded on, be based on, be due to, originate from
求める	もとめる		seek, request, demand, want, wish for, search for
元々	もともと		originally, by nature, from the start
戻る	もどる		return
物	もの		thing, object
者	もの		person
物置き	ものおき		storeroom
物置	ものおき		storage room
物音	ものおと		sounds
物語	ものがたり		tale, story, legend
物語る	ものがたる		tell, indicate
物事	ものごと		things, everything
物差し	ものさし		ruler, measure
物好き	ものずき		curiosity
物凄い	ものすごい		earth-shattering, staggering, to a very great extent
物足りない	ものたりない		unsatisfied, unsatisfactory
最早	もはや		already, now
模範	もはん		exemplar, exemplification, exemplum, model, example
模倣	もほう		imitation, copying
紅葉2	もみじ		autumn colours, (Japanese) maple
木綿2	もめん		cotton
燃やす	もやす		to burn
模様	もよう		pattern, figure, design
催し	もよおし		event, festivities, function, social gathering, auspices, opening, holding (a meeting)
催す	もよおす		to hold (a meeting), to give (a dinner), to feel, to show signs of, to develop symptoms of, to feel (sick)
漏らす	もらす		to let leak, to reveal
森	もり		forest
盛り上がる	もりあがる		to rouse, to swell, to rise
漏る	もる		to leak, to run out
盛る2	もる		prosper, flourish, copulate (animals)
漏れる	もれる		to leak out, to escape, to come through, to shine through, to filter out, to be omitted
門2	もん		gate
問	もん		problem, question
文句	もんく		phrase, complaint
問題	もんだい		problem, question
問答	もんどう		questions and answers, dialogue
