疑惑	ぎわく	本当かどうか、不正があるのではないかなどと疑いをもつこと。また、その気持ち。疑い。ダウト「ーの目で見る」	null
牛2	ぎゅう	null	cow
議案	ぎあん		legislative bill
議員	ぎいん		member of the Diet, congress or parliament
議会	ぎかい		Diet, congress, parliament
戯曲	ぎきょく		play, drama
議決	ぎけつ		resolution, decision, vote
技師	ぎし		engineer, technician
儀式	ぎしき		ceremony, rite, ritual, service
議事堂	ぎじどう		Diet building
技術	ぎじゅつ		technique
犠牲	ぎせい		sacrifice
偽造	ぎぞう		forgery, falsification, fabrication, counterfeiting
議題	ぎだい		topic of discussion, agenda
議長	ぎちょう		chairman
技能	ぎのう		technical skill, ability, capacity
義務	ぎむ		duty, obligation, responsibility
疑問	ぎもん		question, problem, doubt, guess
逆	ぎゃく		reverse, opposite
逆転	ぎゃくてん		(sudden) change, reversal, turn-around, coming from behind (baseball)
牛肉	ぎゅうにく		beef
牛乳	ぎゅうにゅう		cow´s milk
行	ぎょう		line, row, verse
行儀	ぎょうぎ		manners
行事	ぎょうじ		event, function
業者	ぎょうしゃ		trader, merchant
行政	ぎょうせい		administration
業績	ぎょうせき		achievement, performance, results, work, contribution
業務	ぎょうむ		business, affairs, duties, work
行列	ぎょうれつ		line, procession, matrix (mathematics)
漁業	ぎょぎょう		fishing (industry)
玉1	ぎょく		king (shogi)
漁船	ぎょせん		fishing boat
漁村	ぎょそん		fishing village
義理	ぎり		duty, sense of duty, honor, decency, courtesy, debt of gratitude, social obligation
議論	ぎろん		argument, discussion, dispute
銀	ぎん		silver
銀行	ぎんこう		bank
吟味	ぎんみ		testing, scrutiny, careful investigation
