愚	ぐ	おろかなこと。ばかげたこと。	folly; foolishness
具体的	ぐたいてき	はっきりとした実体を備えているさま。個々の事物に即しているさま。反：抽象的。	concrete(ly)
具合	ぐあい		condition
偶数	ぐうすう		even number
偶然	ぐうぜん		chance, accident, fortuity, unexpectedly, suddenly
愚図愚図	ぐずぐず	のろのろといたずらに時間を費やすさま。「借金の返済を―（と）引き延ばす」	~と slowly, tardily; 〔ためらって〕hesitantly, hesitatingly
具体	ぐたい		concrete, tangible, material
愚痴	ぐち		idle complaint, grumble
紅蓮	ぐれん		red lotus
軍2	ぐん		army, force, troops
群	ぐん		group (math)
郡	ぐん		country, district
軍艦	ぐんかん		warship, battleship
軍事	ぐんじ		military affairs
群集	ぐんしゅう		(social) group, crowd, throng, mob, multitude
軍曹	ぐんそう		cadet
軍隊	ぐんたい		army, troops
群島	ぐんとう		archipalego
軍備	ぐんび		armaments, military preparations
軍服	ぐんぷく		military or naval uniform
