場	ば		place, (physics) field
場合	ばあい	 物事が行われているときの状態・事情。局面。「―が―だけに慎重な判断が必要だ」「時と―による」「遊んでいる―ではない」	case, occasion
倍	ばい		double, two times
売却	ばいきゃく	売りはらうこと。「土地を―する」	sale; disposal by sale
黴菌	ばいきん		bacteria, germ(s)
売春	ばいしゅん	女性が報酬を得ることを目的として不特定の相手と性交すること。売淫。売色。売笑。	prostitution
賠償	ばいしょう		reparations, indemnity, compensation
媒体	ばいたい		media (e.g. social)
売店	ばいてん		shop, stand
売買	ばいばい		trade, buying and selling
倍率	ばいりつ		diameter, magnification
馬鹿	ばか		fool, idiot, trivial matter, folly
馬鹿馬鹿しい	ばかばかしい		stupid
馬鹿らしい	ばからしい		absurd
漠然	ばくぜん		obscure, vague, equivocal
莫大	ばくだい		enormous, vast
爆弾	ばくだん		bomb
爆破	ばくは		blast, explosion, blow up
爆発	ばくはつ		explosion, detonation, eruption
暴露	ばくろ		disclosure, exposure, revelation
化ける	ばける		to appear in disguise, to take the form of, to change for the worse
化け物	ばけもの	動植物や無生物が人の姿をとって現れるもの。キツネ・タヌキなどの化けたものや、柳の精・桜の精・雪女郎など。また、一つ目小僧・大入道・ろくろ首などあやしい姿をしたもの。お化け。妖怪。	〔怪物〕a monster; 〔幽霊〕a ghost，(口) a spook，(文) a phantom
場所	ばしょ		place, location
罰1	ばち		(divine) punishment, curse, retribution
伐	ばつ		strike, attack, punish
罰2	ばつ	罪や過ちに対するこらしめ。仕置き。「一週間外出禁止の―を受ける」「―として廊下に立たされる」⇔賞。	punishment; 日本語の「罰」のほか，「刑」にも相当することがある); (a) penalty
罰ゲーム	ばつげーむ	ゲームや勝負事で負けた人が罰としてやらされる行為。	penatly game
伐採	ばっさい		felling, deforestation, lumbering
罰する	ばっする		punish, penalize
発条	ばね		spring (e.g. coil leaf)
場面	ばめん		scene, setting (e.g. of novel)
散蒔く	ばらまく		to disseminate, to scatter, to give money freely
万1	ばん		many, all
判2	ばん		size (of paper or books)
晩	ばん		evening
番組	ばんぐみ		TV program
番号	ばんごう		number, series of digits
番号札	ばんごうふだ		number tag
晩御飯	ばんごはん		dinner, evening meal
万歳	ばんざい		strolling comic dancer
万人	ばんじん		all people, everybody, 10000 people
万全	ばんぜん	少しも手落ちのないこと。きわめて完全なこと。	perfection; (to be) absolutely (sure)
番地	ばんち		house number, address
万能	ばんのう		all-purpose, almighty, omnipotent
番目	ばんめ		cardinal number suffix
