放課後	ほうかご	学校でその日の授業が終わったあと	after school
報告	ほうこく	告げ知らせること。レポート。情報。	report
保元の乱	ほうげんのらん	平安時代末期の保元元年（1156年）7月に皇位継承問題や摂関家の内紛により朝廷が後白河天皇方と崇徳上皇方に分裂し、双方の武力衝突に至った政変である。	(July 28-August 16 1156) was a short civil war fought in order to resolve a dispute about Japanese Imperial succession. The dispute was also about the degree of control exercised by the Fujiwara clan who had become hereditary Imperial regents during the Heian period.
報酬	ほうしゅう	労務または物の使用の対価として給付される金銭・物品など。報奨。給料。医師・弁護士などの	reward; pay; compensation; (doctor or lawyer) fee
方針	ほうしん	方向；方策；計画；方位を示す磁石の針。磁針。	course; policy; plan
放題	ほうだい	常軌を逸していること。自由勝手にふるまうこと。	without reserve; as much as one likes; all-you-can-...
報復	ほうふく	復讐・仕返しをすること。返報。「敵にーする」	retaliation
法律	ほうりつ	社会秩序を維持するために強制される規範。国会の議決を経て制定される法の一形式。法。	law; jurisdiction
zほか		に添えて	in addition
捕捉	ほそく	キャプチャー・つかむこと	 capture; seizure
本部	ほんぶ		HQ
奔走	ほんそう	忙しく走り回ること。物事が順調に運ぶようにあちこちかけまわって努力すること。「募金集めにーする」	make every effort (to); busies himself with; played an active part (in)
穂	ほ		ear (of plant), head (of plant)
保育	ほいく		nursing, nurturing, rearing, lactation, suckling
方2	ほう		side
法	ほう		law
倣	ほう		imitate, follow, emulate
法案	ほうあん		bill (law)
崩壊	ほうかい		collapse, decay (physics), crumbling, breaking down, caving in
法学	ほうがく		law, jurisprudence
方角	ほうがく		direction, way, compass point
宝器	ほうき		treasured article or vessel, outstanding individual
放棄	ほうき		abandonment, renunciation, abdication (responsibility right)
封建	ほうけん		feudalistic
方言	ほうげん		dialect
方向	ほうこう		direction, course, way
芳香	ほうこう	かぐわしい香り。「ーを放つ」	aroma, fragrance
方策	ほうさく		plan, policy
豊作	ほうさく		abundant harvest, bumper crop
奉仕	ほうし		attendance, service
方式	ほうしき		form, method, system
放射	ほうしゃ		radiation, emission
放射能	ほうしゃのう		radioactivity
放出	ほうしゅつ		release, emit
報じる	ほうじる		to inform, to report
報ずる	ほうずる		to inform, to report
宝石	ほうせき		gem, jewel
包装	ほうそう		packing, wrapping
放送	ほうそう		broadcasting
法則	ほうそく		law, rule
包帯	ほうたい		bandage, dressing
放置	ほうち		leave as is, leave to chance, leave alone, neglect
庖丁	ほうちょう		kitchen knife, carving knife
包丁	ほうちょう		kitchen knife, carving knife
法廷	ほうてい		courtroom
方程式	ほうていしき		equation
報道	ほうどう		information, report
奉納	ほうのう	神仏に喜んで納めてもらうために物品を供えたり、その前で芸能・競技などを行ったりすること。「絵馬をーする」「神楽 (かぐら) をーする」	dedication, offering ((of))
褒美	ほうび		reward, prize
豊富	ほうふ		abundance, wealth, plenty, bounty
方法	ほうほう		method, process, manner, way, means, technique
方々2	ほうぼう		persons, this and that, here and there, everywhere, any way, all sides, all people
葬る	ほうむる		to bury, to inter, to entomb, to consign to oblivion, to shelve
方面	ほうめん		direction, district, field (of study)
訪問	ほうもん		call, visit
放り込む	ほうりこむ		to throw into
放り出す	ほうりだす		to throw out, to fire, to expel, to give up, to abandon, to neglect
放る	ほうる		let go, abandon, leave undone, throw, toss, fling
飽和	ほうわ		saturation
頬	ほお		cheek (of face)
保温	ほおん		retaining warmth, keeping heat in, heat insulation
外2	ほか		other place, the rest
他2	ほか		other (especially places and things)
捕獲	ほかく		capture, seizure
朗らか	ほがらか		brightness, cheerfulness, melodious
保管	ほかん		charge, custody, safekeeping, deposit, storage
補給	ほきゅう		supply, supplying, replenishment
補強	ほきょう		compensation, reinforcement
北斗	ほくと	「北斗七星」の略。「泰山 (たいざん) ー」	((米)) the Big Dipper，((英)) the Plough
捕鯨	ほげい		whaling, whale fishing
保健	ほけん		health preservation, hygiene, sanitation
保険	ほけん		insurance, guarantee
保護	ほご		care, protection, shelter, guardianship, favor, patronage
誇り	ほこり		pride
誇る	ほこる		to boast of, to be proud of
綻びる	ほころびる		to come apart at the seams, to begin to open, to smile broadly
乾2	ほし		dried, cured
星	ほし		star
欲しい	ほしい		wanted, wished for, in need of, desired
干し物	ほしもの		dried washing (clothes)
保守	ほしゅ		conservative, maintaining
補充	ほじゅう		supplementation, supplement, replenishment, replenishing
補助	ほじょ		assistance, support, aid, auxiliary
保証	ほしょう		guarantee, security, assurance, pledge, warranty
補償	ほしょう		compensation, reparation
保障	ほしょう		guarantee, security, assurance, pledge, warranty
干す	ほす		to air, dry, desiccate, drain (off), drink up
細い	ほそい		thin, slender, fine
舗装	ほそう		pavement, road surface
補足	ほそく		supplement, complement
保存	ほぞん		preservation, conservation, storage, maintenance
北極	ほっきょく		North Pole
発作	ほっさ		fit, spasm
頬っぺた	ほっぺた		cheek
程	ほど		limit, the more ~ the more
歩道	ほどう		footpath, walkway, sidewalk
解く1	ほどく	結んだり、縫ったり、もつれたりしたものをときはなす。とく。「荷物を―・く」	to unfasten
仏2	ほとけ		Buddha, merciful person, Buddhist image, the dead
施す	ほどこす		to donate, to give, to conduct, to apply, to perform
辺り1	ほとり		(in the) neighbourhood, vicinity, nearby
骨2	ほね		bone
炎	ほのお		flame, blaze
保母	ほぼ		day care worker in a kindergarten nursery school etc.
微笑む	ほほえむ		to smile
褒める	ほめる		to praise
保養	ほよう		health preservation, recuperation, recreation
捕吏	ほり		constable
堀	ほり		moat, canal
捕虜	ほりょ		prisoner (of war)
掘る	ほる		dig, excavate
彫る	ほる		carve, engrave, sculpture, chisel
幌	ほろ		hood
滅びる	ほろびる		to be ruined, to go under, to perish, to be destroyed
滅ぼす	ほろぼす		to destroy, to overthrow, to wreck, to ruin
本	ほん		book
本格	ほんかく		propriety, fundamental rules
本館	ほんかん		main building
