出合い	であい		an encounter
出会い	であい	思いがけなくあうこと。めぐりあい。「師との運命的な＿」「一冊の本との＿」	meeting, rendezvous, encounter
出会う	であう	ある場所でいっしょになる。「本流と支流が―・う地点」	to hold a rendezvous, to have a date
出合う	であう		to meet by chance, to come across, to happen to encounter, to hold a rendezvous, to have a date
出逢う	であう	人・事件などに偶然に行きあう。「街角で旧友と―・う」「帰宅途中に事故に―・う」	to meet by chance; happen to encounter
出入り	でいり		in and out, coming and going, free association, income and expenditure, debits and credit
出入り口	でいりぐち		exit and entrance
出掛ける	でかける		depart, set out, start, be going out
出かける	でかける		depart, go out (e.g. on an excursion or outing), set out, start
出来る	できる		〔可能である〕can [be able to](do); (事が主語で) be possible
出来上がり	できあがり		finish, completion, ready, made for, cut out
出来上がる	できあがる		be finished, be ready, by definition, be very drunk
出来事	できごと		incident, affair, happening, event
出来物	できもの		able man, tumour, growth, boil, ulcer, abcess, rash, pimple
出切る	できる		to be out of, to have no more at hand
出来るだけ	できるだけ		if at all possible
出口	でぐち		exit, gateway, way out, outlet, leak, vent
出くわす	でくわす		to happen to meet, to come across
凸凹	でこぼこ		unevenness, roughness, ruggedness
出鱈目	でたらめ		irresponsible utterance, nonsense, nonsensical, random, haphazard, unsystematic
出直し	でなおし		adjustment, touch up
出迎え	でむかえ		meeting, reception
出迎える	でむかえる		to meet, to greet
出る	でる		appear, come forth, leave
田園	でんえん		country, rural districts
伝記	でんき		biography, life story
電気	でんき		electricity, (electric) light
電球	でんきゅう		light bulb
電源	でんげん		source of electricity, power (button on TV etc.)
伝言	でんごん	人に頼んで、相手に用件を伝えること。また、その言葉。ことづて。ことづけ。「彼には妹からーしてもらう」	a message; word
電子	でんし		electron, (as a prefix) electronic, electronics
電子工学	でんしこうがく	電子伝導、およびその現象を応用する装置・技術についての学問。エレクトロニクス。	electrical engineering; electronics
電車	でんしゃ		electric train
伝承	でんしょう	伝え聞くこと。人づてに聞くこと。	transmission; 〔物〕folklore; 〔口伝〕(an) oral tradition, a tradition
伝説	でんせつ		tradition, legend, folklore
伝染	でんせん		contagion
電線	でんせん		electric line
電卓	でんたく		calculator
伝達	でんたつ		transmission (e.g. news), communication, delivery
電池	でんち		battery
電柱	でんちゅう		telephone pole, telegraph pole, lightpole
点滴	てんてき		hospital drip
電灯	でんとう		light
伝統	でんとう		tradition, convention
電波	でんぱ		electro-magnetic wave
電報	でんぽう		telegram
伝来	でんらい		ancestral, hereditary, imported, transmitted, handed down
電流	でんりゅう		electric current
電力	でんりょく		electric power
電話	でんわ		telephone
