明智光秀	あけち・みつひで	(1528-82年)戦国時代から安土桃山時代にかけての武将。
上杉謙信	うえすぎ・けんしん	(1530-78年)戦国時代の越後国（現在の新潟県上越市）の武将・戦国大名。後世、越後の虎や越後の龍、軍神と称される。
上杉氏	うえすぎし	日本の氏族の一つ。元は公家であるが、鎌倉幕府の将軍となった宗尊親王の従者として関東に下向して、武家と化した。丹波国何鹿郡上杉荘（現在の京都府綾部市上杉）が名字の地。
織田信長	おだのぶなが	(1534-82年)戦国時代から安土桃山時代にかけての武将・戦国大名。三英傑の一人。
平清盛	たいら・の・きよもり	(1118-1181年)平安時代末期の武将・公卿。伊勢平氏の棟梁・平忠盛の長男として生まれ、平氏棟梁となる
平忠正	たいら・の・ただまさ	(不詳-1156年)平安時代末期の伊勢平氏の武将。平正盛の子、忠盛の弟。平清盛の叔父にあたる。
武田氏	たけだし	平安時代末から戦国時代の武家。本姓は源氏。家系は清和源氏の一流・河内源氏の一門、源義光を始祖とする甲斐源氏の宗家である。
徳川家康	とくがわ・いえやす	(1543-1616年)戦国時代から安土桃山時代にかけての武将・戦国大名。江戸幕府の初代征夷大将軍。三英傑の一人で海道一の弓取りの異名を持つ。
豊臣秀吉	とよとみ・ひでよし	(1537-1598年)戦国時代から安土桃山時代にかけての武将、大名、天下人、関白、太閤。三英傑の一人。
服部半蔵	はっとり はんぞう	戦国時代から江戸時代初期にかけて松平氏から徳川氏の麾下で活躍した者を指す。
卑弥呼	ひみこ	(生年不明：247年あるいは248年頃)『魏志倭人伝』等の中国の史書に記されている倭国の王（女王）。
藤原忠実	ふじわら・の・ただざね	(1078-1162)平安時代後期から末期の公卿。藤原師通の長男。日記『殿暦』を残す。
藤原忠通	ふじわら・の・ただみち	(1097-1164)摂政関白太政大臣藤原忠実の長男
藤原頼長	ふじわら・の・よりなが	(1120-1156)平安時代末期の公卿。兄の関白・藤原忠通と対立し、父・藤原忠実の後押しにより藤原氏長者・内覧として旧儀復興・ 綱紀粛正に取り組んだが、その苛烈で妥協を知らない性格により悪左府（あくさふ）の異名を取った
弁慶	べんけい	(生年不詳-1189年6月15日)武蔵坊弁慶。平安時代末期の僧衆（僧兵）。源義経の郎党。
毛利氏	もうりし	日本の武家で、本姓は大江氏。家紋は一文字に三つ星。
